label_name,label,image_path,class_name,class
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_39.jpg_fake_0_50.jpg,lva,6
reals,0,/data/users/soteria/MIDV2020/reals/est_id_75.jpg,est,3
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_36.jpg,srb,8
fakes,1,/data/users/soteria/MIDV2020/fakes/srb_passport_84.jpg_fake_5_98.jpg,srb,8
fakes,1,/data/users/soteria/MIDV2020/fakes/grc_passport_44.jpg_fake_4_24.jpg,grc,5
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_92.jpg,lva,6
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_76.jpg_fake_7_11.jpg,fin,4
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_03.jpg_fake_6_87.jpg,alb,0
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_07.jpg,lva,6
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_43.jpg,rus,7
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_00.jpg_fake_7_72.jpg,fin,4
fakes,1,/data/users/soteria/MIDV2020/fakes/grc_passport_52.jpg_fake_4_84.jpg,grc,5
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_80.jpg_fake_6_57.jpg,alb,0
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_14.jpg_fake_0_45.jpg,lva,6
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_27.jpg,aze,1
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_21.jpg_fake_7_91.jpg,fin,4
fakes,1,/data/users/soteria/MIDV2020/fakes/est_id_74.jpg_fake_9_115.jpg,est,3
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_83.jpg,alb,0
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_97.jpg,grc,5
fakes,1,/data/users/soteria/MIDV2020/fakes/srb_passport_02.jpg_fake_5_63.jpg,srb,8
reals,0,/data/users/soteria/MIDV2020/reals/est_id_36.jpg,est,3
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_79.jpg,grc,5
fakes,1,/data/users/soteria/MIDV2020/fakes/grc_passport_90.jpg_fake_4_77.jpg,grc,5
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_51.jpg_fake_0_114.jpg,lva,6
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_75.jpg,rus,7
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_93.jpg_fake_0_26.jpg,lva,6
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_66.jpg_fake_6_21.jpg,alb,0
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_33.jpg,aze,1
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_22.jpg,lva,6
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_83.jpg_fake_6_35.jpg,alb,0
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_81.jpg_fake_6_91.jpg,alb,0
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_41.jpg,lva,6
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_39.jpg_fake_3_23.jpg,aze,1
reals,0,/data/users/soteria/MIDV2020/reals/est_id_51.jpg,est,3
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_43.jpg,aze,1
fakes,1,/data/users/soteria/MIDV2020/fakes/alb_id_45.jpg_fake_6_62.jpg,alb,0
reals,0,/data/users/soteria/MIDV2020/reals/est_id_37.jpg,est,3
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_86.jpg_fake_7_47.jpg,fin,4
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_28.jpg_fake_0_44.jpg,lva,6
fakes,1,/data/users/soteria/MIDV2020/fakes/svk_id_93.jpg_fake_8_63.jpg,svk,9
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_96.jpg,grc,5
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_77.jpg,rus,7
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_29.jpg,srb,8
